datasetSpeciesName,acceptedName,namingAuthority
Juniperus communis,Juniperus communis L.,Adams 2018
Dicranum dispersum,Dicranum dispersum Engelm.,Afonina and Breen 2009
Thelypteris quelpaertensis,Oreopteris quelpaertensis (Christ) Holub,Almeida et al. 2016
Caloplaca holocarpa,"Athallia holocarpa (Hoffm.) Arup, Frödén & Søchting",Arup et al. 2013
Caloplaca ammiospila,"Blastenia ammiospila (Wahlenb.) Arup, Søchting & Frödén",Arup et al. 2013
Caloplaca jungermanniae,"Bryoplaca jungermanniae (Vahl) Søchting, Frödén & Arup",Arup et al. 2013
Caloplaca tetraspora,"Bryoplaca tetraspora (Nyl.) Søchting, Frödén & Arup",Arup et al. 2013
Caloplaca species,Caloplaca Th. Fr.,Arup et al. 2013
Fulgensia bracteata,Gyalolechia bracteata (Hoffm.) A. Massal.,Arup et al. 2013
Caloplaca xanthostigmoidea,"Gyalolechia xanthostigmoidea (Räsänen) Søchting, Frödén & Arup",Arup et al. 2013
Caloplaca tiroliensis,"Parvoplaca tiroliensis (Zahlbr.) Arup, Søchting & Frödén",Arup et al. 2013
Xanthoria candelaria,"Polycauliona candelaria (L.) Frödén, Arup, & Søchting",Arup et al. 2013
Xanthoria elegans,Rusavskia elegans (Link) S.Y. Kondr. & Kärnefelt,Arup et al. 2013
Galearis rotundifolia,Galearis rotundifolia (Banks ex Pursh) R.M. Bateman,Bateman et al. 2009
Limnorchis aquilonis,Platanthera aquilonis Sheviak,Bateman et al. 2009
Limnorchis hyperborea,Platanthera aquilonis Sheviak,Bateman et al. 2009
Platanthera hyperborea,Platanthera aquilonis Sheviak,Bateman et al. 2009
Platanthera chorisiana,Platanthera chorisiana (Cham.) Rchb.,Bateman et al. 2009
Limnorchis dilatata,Platanthera dilatata (Pursh) Lindl. ex Beck,Bateman et al. 2009
Lysiella obtusata,Platanthera obtusata (Banks ex Pursh) Lindl.,Bateman et al. 2009
Platanthera obtusata,Platanthera obtusata (Banks ex Pursh) Lindl.,Bateman et al. 2009
Limnorchis species,Platanthera Rich.,Bateman et al. 2009
Piperia unalascensis,Platanthera unalascensis (Spreng.) Kurtz,Bateman et al. 2009
Melanohalea septentrionalis,"Melanohalea septentrionalis (Lynge) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch",Blanco et al. 2004
Hypnum vaucheri,"Buckia vaucheri (Lesq.) D. Ríos, M.T. Gallego & J. Guerra",Câmara et al. 2018
Hypnum procerrimum,Pseudostereodon procerrimus (Molendo) M. Fleisch.,Câmara et al. 2018
Hypnum revolutum,Roaldia revoluta (Mitt.) P.E.A.S. Câmara & M. Carvalho-Silva,Câmara et al. 2018
Askellia nana,Askellia pygmaea (Ledeb.) Sennikov,Chambers and Meyers 2011
Campylium zemliae,Campylium zemliae (C.E.O. Jensen) C.E.O. Jensen,Consortium of Bryophyte Herbaria
Campylium calcareum,Campylophyllopsis calcarea (Crundw. & Nyholm) Ochyra,Consortium of Bryophyte Herbaria
Frullania tamarisci,Frullania tamarisci (L.) Dumort.,Consortium of Bryophyte Herbaria
Cephalozia loitlesbergeri,Fuscocephaloziopsis loitlesbergeri (Schiffn.) Vána & L. Söderstr.,Consortium of Bryophyte Herbaria
Jungermannia polaris,Jungermannia polaris Lindb.,Consortium of Bryophyte Herbaria
Macrodiplophyllum species,Macrodiplophyllum (H. Buch) Perss.,Consortium of Bryophyte Herbaria
Marchantia polymorpha s. ruderalis,Marchantia polymorpha ssp. ruderalis Bischl. & Boissel.-Dub.,Consortium of Bryophyte Herbaria
Mnium ambiguum,Mnium lycopodioides Schwägr.,Consortium of Bryophyte Herbaria
!Oncophorus demetrii,Oncophorus demetrii (Renauld & Cardot) Hedenäs,Consortium of Bryophyte Herbaria
Pseudoleskeella catenulata,Pseudoleskeella catenulata (Brid. ex Schrad.) Kindb.,Consortium of Bryophyte Herbaria
Schistidium andreaeopsis,Schistidium andreaeopsis (Müll. Hal.) Laz.,Consortium of Bryophyte Herbaria
Sphagnum divinum,Sphagnum divinum Flatberg & K. Hassel,Consortium of Bryophyte Herbaria
Acarospora schleicheri,Acarospora schleicheri (Ach.) A. Massal.,Consortium of Lichen Herbaria
Agonimia gelatinosa,Agonimia gelatinosa (Ach.) Brand & Diederich,Consortium of Lichen Herbaria
Agonimia tristicula,Agonimia tristicula (Nyl.) Zahlbr.,Consortium of Lichen Herbaria
Alectoria ochroleuca,Alectoria ochroleuca (Hoffm.) A. Massal.,Consortium of Lichen Herbaria
Alectoria sarmentosa s. vexillifera,Alectoria vexillifera (Nyl.) Stizenb.,Consortium of Lichen Herbaria
Allantoparmelia almquistii,Allantoparmelia almquistii (Vain.) Essl.,Consortium of Lichen Herbaria
Allocetraria madreporiformis,Allocetraria madreporiformis (Ach.) Kärnefelt & Thell,Consortium of Lichen Herbaria
Amandinea punctata,Amandinea punctata (Hoffm.) Coppins & Scheid.,Consortium of Lichen Herbaria
Anaptychia bryorum,Anaptychia bryorum Poelt,Consortium of Lichen Herbaria
Arctocetraria andrejevii,Arctocetraria andrejevii (Oksner) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Arctocetraria nigricascens,Arctocetraria nigricascens (Nyl.) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Arctomia delicatula,Arctomia delicatula Th. Fr.,Consortium of Lichen Herbaria
Arctoparmelia centrifuga,Arctoparmelia centrifuga (L.) Hale,Consortium of Lichen Herbaria
Arctoparmelia species,Arctoparmelia Hale,Consortium of Lichen Herbaria
Arctoparmelia incurva,Arctoparmelia incurva (Pers.) Hale,Consortium of Lichen Herbaria
Arctoparmelia separata,Arctoparmelia separata (Th. Fr.) Hale,Consortium of Lichen Herbaria
Arthrorhaphis alpina,Arthrorhaphis alpina (Schaer.) R. Sant.,Consortium of Lichen Herbaria
Arthrorhaphis species,Arthrorhaphis Th. Fr.,Consortium of Lichen Herbaria
Asahinea chrysantha,Asahinea chrysantha (Tuck.) W.L. Culb. & C.F. Culb.,Consortium of Lichen Herbaria
Asahinea scholanderi,Asahinea scholanderi (Llano) W.L. Culb. & C.F. Culb.,Consortium of Lichen Herbaria
Asahinea species,Asahinea W.L. Culb. & C.F. Culb.,Consortium of Lichen Herbaria
Bacidia bagliettoana,Bacidia bagliettoana (A. Massal. & De Not.) Jatta,Consortium of Lichen Herbaria
Baeomyces carneus,Baeomyces carneus Flörke,Consortium of Lichen Herbaria
Baeomyces species,Baeomyces Pers.,Consortium of Lichen Herbaria
Baeomyces placophyllus,Baeomyces placophyllus Ach.,Consortium of Lichen Herbaria
Baeomyces rufus,Baeomyces rufus (Huds.) Rebent.,Consortium of Lichen Herbaria
Biatora subduplex,Biatora subduplex (Nyl.) Printzen,Consortium of Lichen Herbaria
Biatora vernalis,Biatora vernalis (L.) Fr.,Consortium of Lichen Herbaria
Biatorella species,Biatorella De Not.,Consortium of Lichen Herbaria
Bilimbia lobulata,Bilimbia lobulata (Sommerf.) Hafellner & Coppins,Consortium of Lichen Herbaria
Brodoa oroarctica,Brodoa oroarctica (Krog) Goward,Consortium of Lichen Herbaria
Bryocaulon divergens,Bryocaulon divergens (Ach.) Kärnefelt,Consortium of Lichen Herbaria
Bryocaulon species,Bryocaulon Kärnefelt,Consortium of Lichen Herbaria
Bryocaulon sp.,Bryocaulon Kärnefelt,Consortium of Lichen Herbaria
Bryocaulon,Bryocaulon Kärnefelt,Consortium of Lichen Herbaria
Bryonora castanea,Bryonora castanea (Hepp) Poelt,Consortium of Lichen Herbaria
Bryoria species,Bryoria Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Bryoria sp.,Bryoria Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Bryoria,Bryoria Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Bryoria nitidula,Bryoria nitidula (Th. Fr.) Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Bryoria trichodes,Bryoria trichodes (Michx.) Brodo & D. Hawksw.,Consortium of Lichen Herbaria
Caloplaca cerina,Caloplaca cerina (Ehrh. ex Hedw.) Th. Fr.,Consortium of Lichen Herbaria
Caloplaca fraudans,Caloplaca fraudans (Th. Fr.) H. Olivier,Consortium of Lichen Herbaria
Caloplaca phaeocarpella,Caloplaca phaeocarpella (Nyl.) Zahlbr.,Consortium of Lichen Herbaria
Candelariella species,Candelariella Müll. Arg.,Consortium of Lichen Herbaria
Candelariella placodizans,Candelariella placodizans (Nyl.) H. Magn.,Consortium of Lichen Herbaria
Candelariella terrigena,Candelariella terrigena Räsänen,Consortium of Lichen Herbaria
Catapyrenium cinereum,Catapyrenium cinereum (Pers.) Körb.,Consortium of Lichen Herbaria
Catapyrenium species,Catapyrenium Flot.,Consortium of Lichen Herbaria
Cetraria species,Cetraria Ach.,Consortium of Lichen Herbaria
Cetraria sp.,Cetraria Ach.,Consortium of Lichen Herbaria
Cetraria,Cetraria Ach.,Consortium of Lichen Herbaria
Cetraria aculeata,Cetraria aculeata (Schreb.) Fr.,Consortium of Lichen Herbaria
Cetraria ericetorum,Cetraria ericetorum Opiz,Consortium of Lichen Herbaria
Cetraria islandica,Cetraria islandica (L.) Ach.,Consortium of Lichen Herbaria
Cetraria cf. islandica,Cetraria islandica (L.) Ach.,Consortium of Lichen Herbaria
Cetraria islandica ssp. islandica,Cetraria islandica ssp. islandica (L.) Ach.,Consortium of Lichen Herbaria
Cetraria kamczatica,Cetraria kamczatica Savicz,Consortium of Lichen Herbaria
Cetraria laevigata,Cetraria laevigata Rass.,Consortium of Lichen Herbaria
Cetraria muricata,Cetraria muricata (Ach.) Eckfeldt,Consortium of Lichen Herbaria
Cetraria nigricans,Cetraria nigricans Nyl.,Consortium of Lichen Herbaria
Melanelia commixta,Cetrariella commixta (Nyl.) A. Thell & Kärnefelt,Consortium of Lichen Herbaria
Cetrariella delisei,Cetrariella delisei (Bory ex Schaer.) Kärnefelt & Thell,Consortium of Lichen Herbaria
Cetraria fastigiata,Cetrariella fastigiata (Delise ex Nyl.) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Cetrariella fastigiata,Cetrariella fastigiata (Delise ex Nyl.) Kärnefelt & A. Thell,Consortium of Lichen Herbaria
Cladonia acuminata,Cladonia acuminata (Ach.) Norrl.,Consortium of Lichen Herbaria
Cladonia acuminata (Ach.) Norrl.,Cladonia acuminata (Ach.) Norrl.,Consortium of Lichen Herbaria
Cladonia alaskana,Cladonia alaskana A. Evans,Consortium of Lichen Herbaria
Cladonia albonigra,Cladonia albonigra Brodo & Ahti,Consortium of Lichen Herbaria
Cladonia amaurocraea,Cladonia amaurocraea (Flörke) Schaer.,Consortium of Lichen Herbaria
Cladonia amaurocraea (Fl?rke) Schaer.,Cladonia amaurocraea (Flörke) Schaer.,Consortium of Lichen Herbaria
Cladonia arbuscula s. lat.,Cladonia arbuscula (Wallr.) Flot.,Consortium of Lichen Herbaria
Cladina arbuscula,Cladonia arbuscula (Wallr.) Flot.,Consortium of Lichen Herbaria
Cladonia mitis,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,Consortium of Lichen Herbaria
Cladina mitis,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,Consortium of Lichen Herbaria
Cladonia arbuscula ssp. mitis,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,Consortium of Lichen Herbaria
Cladonia bacilliformis,Cladonia bacilliformis (Nyl.) Gluck,Consortium of Lichen Herbaria
Cladonia bellidiflora,Cladonia bellidiflora (Ach.) Schaer.,Consortium of Lichen Herbaria
Cladonia borealis,Cladonia borealis S. Stenroos,Consortium of Lichen Herbaria
Cladonia cariosa,Cladonia cariosa (Ach.) Spreng.,Consortium of Lichen Herbaria
Cladonia carneola,Cladonia carneola (Fr.) Fr.,Consortium of Lichen Herbaria
Cladonia cenotea,Cladonia cenotea (Ach.) Schaer.,Consortium of Lichen Herbaria
Cladonia chlorophaea,Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.,Consortium of Lichen Herbaria
Cladonia coccifera s. lat.,Cladonia coccifera (L.) Willd.,Consortium of Lichen Herbaria
Cladonia coccifera s.l.,Cladonia coccifera (L.) Willd.,Consortium of Lichen Herbaria
Cladonia cornuta,Cladonia cornuta (L.) Hoffm.,Consortium of Lichen Herbaria
Cladonia cf. cornuta,Cladonia cornuta (L.) Hoffm.,Consortium of Lichen Herbaria
Cladonia crispata s. lat.,Cladonia crispata (Ach.) Flot.,Consortium of Lichen Herbaria
Cladonia cyanipes,Cladonia cyanipes (Sommerf.) Nyl.,Consortium of Lichen Herbaria
Cladonia decorticata,Cladonia decorticata (Flörke) Spreng.,Consortium of Lichen Herbaria
Cladonia deformis,Cladonia deformis (L.) Hoffm.,Consortium of Lichen Herbaria
Cladonia digitata,Cladonia digitata (L.) Hoffm.,Consortium of Lichen Herbaria
Cladonia ecmocyna,Cladonia ecmocyna Leight.,Consortium of Lichen Herbaria
Cladonia fimbriata,Cladonia fimbriata (L.) Fr.,Consortium of Lichen Herbaria
Cladonia furcata,Cladonia furcata (Huds.) Schrad.,Consortium of Lichen Herbaria
Cladonia gracilis s. lat.,Cladonia gracilis (L.) Willd.,Consortium of Lichen Herbaria
Cladonia gracilis,Cladonia gracilis (L.) Willd.,Consortium of Lichen Herbaria
Cladonia gracilis s.l.,Cladonia gracilis (L.) Willd.,Consortium of Lichen Herbaria
