plot_id,survey_year,survey_month,survey_day,plot_radius,latitude_y,longitude_x,georef_source,georef_accuracy,coord_epsg,data_subsource,data_source,survey_method,fcover_scale,survey_purpose,geometry,admin_unit,admin_country,fire_years,bioclim_subzone,duplicated_coords,duplicated_date
120712b1,2012,7,12,55,69.36252,-152.13188,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1318817138672 69.3625183105468),Alaska,United States of America,,5,,
120713a1,2012,7,13,55,70.51581,-157.26028,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.26028442382815 70.51580810546871),Alaska,United States of America,,4,,"['120713a1', '120713b1']"
120713b1,2012,7,13,55,69.810196,-152.3509,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.3509063720703 69.81019592285152),Alaska,United States of America,,4,,"['120713a1', '120713b1']"
120714a1,2012,7,14,55,70.50894,-157.26357,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.26356506347656 70.50894165039058),Alaska,United States of America,,4,,"['120714a1', '120714a2', '120714b1']"
120714a2,2012,7,14,55,70.509094,-157.25325,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.2532501220703 70.50909423828121),Alaska,United States of America,,4,,"['120714a1', '120714a2', '120714b1']"
120714b1,2012,7,14,55,69.40735,-153.78899,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-153.7889862060547 69.40734863281244),Alaska,United States of America,,5,,"['120714a1', '120714a2', '120714b1']"
120715b1,2012,7,15,55,69.25615,-152.24014,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.24014282226562 69.25614929199213),Alaska,United States of America,,5,,
120716a1,2012,7,16,55,69.94402,-156.99504,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-156.9950408935547 69.94402313232416),Alaska,United States of America,,4,"['120716a1', '120716a1b']","['120716a1', '120716b1', '120716b2']"
120716a1b,2012,7,30,55,69.94402,-156.99504,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-156.9950408935547 69.94402313232416),Alaska,United States of America,,4,"['120716a1', '120716a1b']","['120716a1b', '120730a1', '120730b1', '120730b2', '120730b3']"
120716b1,2012,7,16,55,70.106155,-152.33456,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.33456420898438 70.10615539550777),Alaska,United States of America,,4,,"['120716a1', '120716b1', '120716b2']"
120716b2,2012,7,16,55,70.104904,-152.3481,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.3480987548828 70.10490417480464),Alaska,United States of America,,4,,"['120716a1', '120716b1', '120716b2']"
120717a1,2012,7,17,55,70.18382,-157.78796,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.7879638671875 70.18382263183588),Alaska,United States of America,,4,,
120718a1,2012,7,18,55,69.97429,-157.08409,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.08409118652344 69.97428894042963),Alaska,United States of America,,4,,"['120718a1', '120718a2', '120718b1']"
120718a2,2012,7,18,55,69.96971,-157.0846,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.0845947265625 69.96971130371088),Alaska,United States of America,,4,,"['120718a1', '120718a2', '120718b1']"
120718b1,2012,7,18,55,69.38796,-152.11444,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.11444091796875 69.38796234130854),Alaska,United States of America,,5,,"['120718a1', '120718a2', '120718b1']"
120719a1,2012,7,19,55,70.42699,-156.58398,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-156.583984375 70.4269866943359),Alaska,United States of America,,4,,"['120719a1', '120719a2']"
120719a2,2012,7,19,55,70.42748,-156.59158,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-156.59158325195315 70.42748260498043),Alaska,United States of America,,4,,"['120719a1', '120719a2']"
120720a1,2012,7,20,55,70.47541,-157.59564,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.59564208984375 70.47541046142574),Alaska,United States of America,,4,,"['120720a1', '120720b1']"
120720b1,2012,7,20,55,69.38617,-152.19157,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.1915740966797 69.38616943359368),Alaska,United States of America,,5,,"['120720a1', '120720b1']"
120721a1,2012,7,21,55,70.498276,-157.43024,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-157.43023681640625 70.4982757568359),Alaska,United States of America,,4,,"['120721a1', '120721b1']"
120721b1,2012,7,21,55,70.21746,-153.11465,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-153.11465454101562 70.21746063232418),Alaska,United States of America,,4,,"['120721a1', '120721b1']"
120722a1,2012,7,22,55,69.883804,-156.22968,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-156.22967529296875 69.88380432128903),Alaska,United States of America,,4,,"['120722a1', '120722b1', '120722b2']"
120722b1,2012,7,22,55,69.39986,-152.27432,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.27432250976562 69.39985656738276),Alaska,United States of America,,5,,"['120722a1', '120722b1', '120722b2']"
120722b2,2012,7,22,55,69.40152,-152.27647,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-152.27647399902344 69.40151977539057),Alaska,United States of America,,5,,"['120722a1', '120722b1', '120722b2']"
120723a1,2012,7,23,55,70.25924,-155.34332,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.34332275390625 70.2592391967773),Alaska,United States of America,,4,,"['120723a1', '120723a2']"
120723a2,2012,7,23,55,70.25499,-155.32501,GPS,,EPSG:4326,Shell Onshore Matthew Macander,ABR,center-staked point-intercept transect,percent,Conduct vegetation assessments and paired remote sensing analysis to assess environmental issues associated with the construction of Shell processing facilities in coastal Alaska,POINT (-155.32501220703128 70.2549896240234),Alaska,United States of America,,4,,"['120723a1', '120723a2']"
