plot_id,accepted_name,fcover
120712b1,Alnus alnobetula ssp. fruticosa (Rupr.) Raus.,10.6
120712b1,Andromeda polifolia L.,0.66
120712b1,Aulacomnium turgidum (Wahlenb.) Schwägr.,3.97
120712b1,Betula nana L.,5.96
120712b1,Carex bigelowii Torr. ex Schwein.,11.26
120712b1,Dicranum elongatum Schleich. ex Schwägr.,0.66
120712b1,Empetrum nigrum L.,5.96
120712b1,Eriophorum angustifolium Honck.,0.66
120712b1,Eriophorum vaginatum L.,7.28
120712b1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,0.66
120712b1,Hylocomium splendens (Hedw.) Schimp.,15.89
120712b1,Lupinus arcticus S. Watson,1.32
120712b1,Peltigera Willd.,0.66
120712b1,Pleurozium schreberi (Willd. ex Brid.) Mitt.,2.65
120712b1,Ptilium crista-castrensis (Hedw.) De Not.,0.66
120712b1,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,3.97
120712b1,Rubus chamaemorus L.,1.32
120712b1,Salix pulchra Cham.,5.96
120712b1,Scorpidium revolvens (Sw.) Hedenäs,1.32
120712b1,Sphagnum L.,2.65
120712b1,Tomentypnum nitens (Hedw.) Loeske,3.31
120712b1,Vaccinium uliginosum L.,9.93
120712b1,Vaccinium vitis-idaea L.,9.93
120713a1,Arctagrostis latifolia (R. Br.) Griseb.,1.96
120713a1,Carex aquatilis Wahlenb.,3.27
120713a1,Ceratodon purpureus (Hedw.) Brid.,31.37
120713a1,Dactylina arctica (Richardson) Nyl.,0.65
120713a1,Eriophorum scheuchzeri Hoppe,22.22
120713a1,Juncus L.,0.65
120713a1,Poa pratensis ssp. alpigena (Fr. ex Blytt) Hiitonen,0.65
120713a1,Saxifraga cernua L.,1.31
120713a1,Stellaria L.,0.65
120713b1,Andromeda polifolia L.,2.67
120713b1,Aulacomnium turgidum (Wahlenb.) Schwägr.,7.33
120713b1,Betula nana L.,8.67
120713b1,Carex bigelowii Torr. ex Schwein.,3.33
120713b1,Cassiope tetragona (L.) D. Don,4.0
120713b1,Cetrariella delisei (Bory ex Schaer.) Kärnefelt & Thell,0.67
120713b1,Cladonia P. Browne,1.33
120713b1,Cladonia arbuscula (Wallr.) Flot.,0.67
120713b1,Cladonia arbuscula ssp. mitis (Sandst.) Ruoss,1.33
120713b1,Cladonia rangiferina (L.) F.H. Wigg.,1.33
120713b1,Dactylina arctica (Richardson) Nyl.,1.33
120713b1,Dicranella (Müll. Hal.) Schimp.,0.67
120713b1,Dicranum Hedw.,2.67
120713b1,Empetrum nigrum L.,2.67
120713b1,Eriophorum vaginatum L.,11.33
120713b1,Flavocetraria cucullata (Bellardi) Kärnefelt & A. Thell,2.0
120713b1,Hylocomium splendens (Hedw.) Schimp.,2.0
120713b1,Rhododendron tomentosum ssp. decumbens (Aiton) Elven & D.F. Murray,10.0
120713b1,Rhytidium rugosum (Hedw.) Kindb.,0.67
120713b1,Salix pulchra Cham.,2.0
120713b1,Sphagnum L.,4.0
120713b1,Vaccinium uliginosum L.,0.67
120713b1,Vaccinium vitis-idaea L.,18.67
120714a1,Artemisia borealis Pall.,1.32
120714a1,Ceratodon purpureus (Hedw.) Brid.,0.66
120714a1,Pohlia Hedw.,0.66
120714a2,Alopecurus borealis Trin.,1.32
120714a2,Artemisia frigida Willd.,0.66
120714a2,Aulacomnium turgidum (Wahlenb.) Schwägr.,0.66
120714a2,Bryocaulon Kärnefelt,2.63
